Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HTTPS Expired Cert,HSTS,HSTS Header,HSTS Max Age,HSTS Entire Domain,HSTS Preload Ready,HSTS Preload Pending,HSTS Preloaded,Base Domain HSTS Preloaded,Domain Supports HTTPS,Domain Enforces HTTPS,Domain Uses Strong HSTS
3circolodecurtis.gov.it,gov.it,http://3circolodecurtis.gov.it,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
10icpadova.gov.it,gov.it,http://www.10icpadova.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
112.gov.it,gov.it,http://www.112.gov.it,True,True,,False,False,False,True,False,True,False,False,,,False,False,False,False,False,False,False,False
12circolobari.gov.it,gov.it,http://12circolobari.gov.it,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
15icpaolorsi.gov.it,gov.it,http://www.15icpaolorsi.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
16circolovillanova.gov.it,gov.it,http://16circolovillanova.gov.it,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
2circolodidatticocastelvetrano.gov.it,gov.it,http://www.2circolodidatticocastelvetrano.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
17circolodidattico.gov.it,gov.it,http://17circolodidattico.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
17circolodidatticopoggiofrancobari.gov.it,gov.it,http://17circolodidatticopoggiofrancobari.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
1cdbacoli.gov.it,gov.it,http://1cdbacoli.gov.it,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
1cdsomma.gov.it,gov.it,http://1cdsomma.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
1cdsommaves.gov.it,gov.it,http://1cdsommaves.gov.it,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
1cdvalenzano.gov.it,gov.it,http://1cdvalenzano.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
1circolocarminenicosia.gov.it,gov.it,http://www.1circolocarminenicosia.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
1circolociampino.gov.it,gov.it,http://www.1circolociampino.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
1circolodidatticoischia.gov.it,gov.it,http://1circolodidatticoischia.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
1circologuerrazzi.gov.it,gov.it,http://www.1circologuerrazzi.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
1circolomarconi.gov.it,gov.it,http://www.1circolomarconi.gov.it,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
1circolomariorapisardi.gov.it,gov.it,http://1circolomariorapisardi.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
1circolomondovi.gov.it,gov.it,http://1circolomondovi.gov.it,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
2circolomercatosanseverino.gov.it,gov.it,http://www.2circolomercatosanseverino.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
17circolo.gov.it,gov.it,http://www.17circolo.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
1circolovillabate.gov.it,gov.it,http://www.1circolovillabate.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
1comprcarlentinipirandello.gov.it,gov.it,http://www.1comprcarlentinipirandello.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
1icpriologargallo.gov.it,gov.it,http://www.1icpriologargallo.gov.it,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
2circolosolofra.gov.it,gov.it,http://www.2circolosolofra.gov.it,True,True,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
22ddalbertomario.gov.it,gov.it,https://22ddalbertomario.gov.it,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,False,True,True,False
1icudine.gov.it,gov.it,http://1icudine.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
24circolodidattico.gov.it,gov.it,http://24circolodidattico.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
10icpadova.gov.it,gov.it,http://www.10icpadova.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
112.gov.it,gov.it,http://www.112.gov.it,True,True,,False,False,False,True,False,True,False,False,,,False,False,False,False,False,False,False,False
12circolobari.gov.it,gov.it,http://12circolobari.gov.it,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
21mamelizuppetta.gov.it,gov.it,http://21mamelizuppetta.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
15icpaolorsi.gov.it,gov.it,http://www.15icpaolorsi.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
17circolo.gov.it,gov.it,http://www.17circolo.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
17circolodidatticopoggiofrancobari.gov.it,gov.it,http://17circolodidatticopoggiofrancobari.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
17circolodidattico.gov.it,gov.it,http://17circolodidattico.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
1cdbacoli.gov.it,gov.it,http://1cdbacoli.gov.it,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
16circolovillanova.gov.it,gov.it,http://16circolovillanova.gov.it,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
1circoloscafati.gov.it,gov.it,http://1circoloscafati.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
1cdsomma.gov.it,gov.it,http://1cdsomma.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
1cdvalenzano.gov.it,gov.it,http://1cdvalenzano.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
1cdsommaves.gov.it,gov.it,http://1cdsommaves.gov.it,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
1circolodidatticoischia.gov.it,gov.it,http://1circolodidatticoischia.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
1circologuerrazzi.gov.it,gov.it,http://www.1circologuerrazzi.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
1circolociampino.gov.it,gov.it,http://www.1circolociampino.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
1circolomariorapisardi.gov.it,gov.it,http://1circolomariorapisardi.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
1circolocarminenicosia.gov.it,gov.it,http://www.1circolocarminenicosia.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
1circolomondovi.gov.it,gov.it,http://1circolomondovi.gov.it,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
1circoloscafati.gov.it,gov.it,http://1circoloscafati.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
1circolomarconi.gov.it,gov.it,http://www.1circolomarconi.gov.it,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
1circolovillabate.gov.it,gov.it,http://www.1circolovillabate.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
1comprcarlentinipirandello.gov.it,gov.it,http://www.1comprcarlentinipirandello.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
1icpriologargallo.gov.it,gov.it,http://www.1icpriologargallo.gov.it,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
1icudine.gov.it,gov.it,http://1icudine.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
24circolodidattico.gov.it,gov.it,http://24circolodidattico.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
26-cd-imbriani.gov.it,gov.it,http://26-cd-imbriani.gov.it,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
26circolodidatticobari.gov.it,gov.it,http://www.26circolodidatticobari.gov.it,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
2cdrodaricasamassima.gov.it,gov.it,http://www.2cdrodaricasamassima.gov.it,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
2circolo-triggiano.gov.it,gov.it,http://2circolo-triggiano.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
22ddalbertomario.gov.it,gov.it,https://22ddalbertomario.gov.it,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,False,True,True,False
2circolociampino.gov.it,gov.it,http://www.2circolociampino.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
2circolodidatticocastelvetrano.gov.it,gov.it,http://www.2circolodidatticocastelvetrano.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
2circolofasano.gov.it,gov.it,http://2circolofasano.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
2circoloforgione.gov.it,gov.it,http://2circoloforgione.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
2circolomercatosanseverino.gov.it,gov.it,http://www.2circolomercatosanseverino.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
2circolomondovi.gov.it,gov.it,http://www.2circolomondovi.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
2circolomoromodugno.gov.it,gov.it,http://www.2circolomoromodugno.gov.it,True,False,,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False
2circolopatern.gov.it,gov.it,http://2circolopatern.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
2circolopiombino.it.gov.it,gov.it,http://www.2circolopiombino.it.gov.it,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
2circolosangiorgio.gov.it,gov.it,http://2circolosangiorgio.gov.it,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
21mamelizuppetta.gov.it,gov.it,http://21mamelizuppetta.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
2circolosolofra.gov.it,gov.it,http://www.2circolosolofra.gov.it,True,True,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
2circolo.gov.it,gov.it,http://2circolo.gov.it,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
2circolospoleto.gov.it,gov.it,http://www.2circolospoleto.gov.it,True,False,,True,False,True,False,False,False,False,False,,,False,False,False,False,False,False,False,False
2comprensivogiulianova.gov.it,gov.it,http://2comprensivogiulianova.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
2icceglie.gov.it,gov.it,https://www.2icceglie.gov.it,True,False,,True,True,False,False,False,False,False,False,,,False,False,False,False,False,True,True,False
25lugliobettolo.gov.it,gov.it,http://www.25lugliobettolo.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
2comprensivorossano.gov.it,gov.it,http://www.2comprensivorossano.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
2ledeamicis.gov.it,gov.it,http://2ledeamicis.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
2circolovoghera.gov.it,gov.it,http://2circolovoghera.gov.it,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
33circolonapoli.gov.it,gov.it,http://33circolonapoli.gov.it,True,False,,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False
3cdgiarre.gov.it,gov.it,http://3cdgiarre.gov.it,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
3cdmolfetta.gov.it,gov.it,http://3cdmolfetta.gov.it,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
3circolocarmagnola.gov.it,gov.it,http://3circolocarmagnola.gov.it,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
3circolodecurtis.gov.it,gov.it,http://3circolodecurtis.gov.it,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
3circolodidatticoaversa.gov.it,gov.it,http://www.3circolodidatticoaversa.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
3circolodidatticocaivano.gov.it,gov.it,http://3circolodidatticocaivano.gov.it,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
31icborsellino.gov.it,gov.it,http://31icborsellino.gov.it,True,False,,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False
2icudine.gov.it,gov.it,http://2icudine.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
2superioreaugusta.gov.it,gov.it,http://www.2superioreaugusta.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
3iccapuana.gov.it,gov.it,http://3iccapuana.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
3circolovt.gov.it,gov.it,http://3circolovt.gov.it,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
3icgiarre.gov.it,gov.it,http://3icgiarre.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
3icudine.gov.it,gov.it,http://3icudine.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
41console.gov.it,gov.it,http://www.41console.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
47circolo.gov.it,gov.it,http://47circolo.gov.it,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
4circolo.gov.it,gov.it,http://www.4circolo.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
4circolocasoria.gov.it,gov.it,http://4circolocasoria.gov.it,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
4circolodonuva.gov.it,gov.it,http://www.4circolodonuva.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
4circologrosseto.gov.it,gov.it,http://4circologrosseto.gov.it,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
3icrodari.gov.it,gov.it,http://www.3icrodari.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
4circololecce.gov.it,gov.it,http://www.4circololecce.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
3icsr.gov.it,gov.it,http://3icsr.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
4circolopc.gov.it,gov.it,http://www.4circolopc.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
4circolotrani.gov.it,gov.it,http://www.4circolotrani.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
4circolosangiorgio.gov.it,gov.it,http://4circolosangiorgio.gov.it,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
4circolopestalozzi.gov.it,gov.it,http://4circolopestalozzi.gov.it,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
3circologiugliano.gov.it,gov.it,http://3circologiugliano.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
4comprensivomarconi.gov.it,gov.it,http://www.4comprensivomarconi.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
4daurianosengo.gov.it,gov.it,http://www.4daurianosengo.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
4icvergasr.gov.it,gov.it,http://4icvergasr.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
4istitutocosta.gov.it,gov.it,http://www.4istitutocosta.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
4icdamicorosolini.gov.it,gov.it,http://www.4icdamicorosolini.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
4novembre.gov.it,gov.it,http://4novembre.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
55piscicelli.gov.it,gov.it,http://55piscicelli.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
5.circolopozzuoli.gov.it,gov.it,http://5.circolopozzuoli.gov.it,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
4icudine.gov.it,gov.it,http://4icudine.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
5circololatina.gov.it,gov.it,http://www.5circololatina.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
4icpadova.gov.it,gov.it,https://www.4icpadova.gov.it,True,False,,True,True,False,False,False,False,False,False,,,False,False,False,False,False,True,True,False
5icudine.gov.it,gov.it,http://5icudine.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
5tempesta.gov.it,gov.it,http://www.5tempesta.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
62icsvittorinodafeltre.gov.it,gov.it,http://62icsvittorinodafeltre.gov.it,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
69circolodidatticonapoli.gov.it,gov.it,http://69circolodidatticonapoli.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
63circolo.gov.it,gov.it,http://www.63circolo.gov.it,True,True,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
6icudine.gov.it,gov.it,http://6icudine.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
70circolodidattico.gov.it,gov.it,http://70circolodidattico.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
25lugliobettolo.gov.it,gov.it,http://www.25lugliobettolo.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
26-cd-imbriani.gov.it,gov.it,http://26-cd-imbriani.gov.it,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
26circolodidatticobari.gov.it,gov.it,http://www.26circolodidatticobari.gov.it,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
2cdrodaricasamassima.gov.it,gov.it,http://www.2cdrodaricasamassima.gov.it,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
2circolo-triggiano.gov.it,gov.it,http://2circolo-triggiano.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
2circolo.gov.it,gov.it,http://2circolo.gov.it,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
2circolociampino.gov.it,gov.it,http://www.2circolociampino.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
2circolodidatticocastelvetrano.gov.it,gov.it,http://www.2circolodidatticocastelvetrano.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
2circolofasano.gov.it,gov.it,http://2circolofasano.gov.it,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
